order_id,visitor_id,employee_id,location_id,order_time,items_count,total_amount,payment_method
1,663,376,5,2025-01-05 14:31:57.125898,1,14.4,Mobile
2,1678,169,5,2025-03-11 19:29:07.125926,5,78.62,Card
3,798,31,20,2025-08-29 11:04:27.125938,4,20.02,Card
4,407,88,9,2025-03-15 21:14:02.125947,6,75.75,Mobile
5,784,130,16,2025-09-07 21:08:01.125956,2,37.03,Cash
6,577,267,13,2025-04-15 13:47:27.125964,4,48.19,Cash
7,159,254,17,2025-04-07 18:23:33.125972,5,67.34,Cash
8,1073,194,17,2025-01-10 14:59:09.125980,1,19.43,Card
9,939,114,17,2025-03-03 13:44:26.125988,6,41.69,Cash
10,885,190,14,2025-07-09 19:26:15.125995,1,18.22,Mobile
11,1867,131,16,2025-11-10 19:32:41.126002,6,30.0,Card
12,756,119,6,2025-08-04 11:33:09.126010,3,19.42,Cash
13,2035,340,4,2025-07-28 20:30:31.126019,1,24.88,Cash
14,991,331,12,2025-07-29 17:48:37.126026,1,9.6,Cash
15,2357,28,17,2024-12-31 12:13:20.126033,5,74.28,Mobile
16,2069,26,19,2024-11-30 15:35:05.126041,1,17.77,Mobile
17,1068,317,2,2025-03-27 14:52:41.126049,5,40.13,Cash
18,1663,255,1,2025-06-02 18:35:31.126056,3,25.61,Mobile
19,2497,58,7,2024-12-27 19:24:32.126064,3,31.89,Cash
20,958,88,7,2024-12-24 11:38:54.126071,1,10.24,Cash
21,157,165,6,2025-05-09 17:46:22.126078,2,16.4,Cash
22,1599,13,20,2025-11-11 19:56:26.126092,2,15.8,Cash
23,625,276,18,2025-08-09 13:14:12.126100,4,18.92,Card
24,2200,31,15,2025-02-24 12:49:55.126107,4,28.14,Mobile
25,1669,90,10,2025-11-01 10:29:36.126115,3,43.26,Card
26,2391,128,8,2025-05-30 11:44:17.126122,5,40.29,Cash
27,122,372,11,2025-01-18 14:26:42.126130,4,60.15,Mobile
28,1281,178,13,2025-04-24 18:27:44.126137,6,40.94,Cash
29,736,66,14,2025-08-24 19:35:01.126144,4,19.01,Cash
30,1409,190,19,2025-09-07 18:23:30.126152,6,65.76,Mobile
31,1902,114,20,2025-02-15 17:57:25.126159,4,34.97,Card
32,334,347,19,2025-08-18 18:07:59.126167,3,46.67,Card
33,1061,131,14,2025-07-05 16:19:29.126174,5,33.19,Mobile
34,2214,346,18,2025-10-27 12:29:23.126182,5,61.9,Card
35,1397,178,18,2025-05-03 10:39:58.126190,6,58.43,Card
36,1589,173,8,2025-11-04 11:17:16.126197,3,39.32,Mobile
37,1441,256,7,2025-01-02 15:08:47.126205,6,43.0,Card
38,1661,89,14,2025-06-22 10:27:55.126212,2,16.99,Card
39,1069,231,20,2024-11-24 13:36:29.126220,4,44.32,Mobile
40,1365,385,16,2025-07-06 18:50:50.126227,3,34.38,Card
41,26,1,16,2025-02-16 19:02:50.126235,2,45.98,Mobile
42,905,194,18,2025-07-12 12:51:48.126242,2,14.32,Mobile
43,390,313,7,2025-09-28 12:53:06.126250,2,16.86,Cash
44,1892,72,10,2025-02-18 13:33:57.126258,2,5.01,Card
45,1959,141,19,2025-05-18 19:06:54.126265,4,59.97,Cash
46,1196,388,2,2025-02-10 19:15:16.126272,2,33.14,Cash
47,1820,70,20,2024-12-22 13:01:26.126280,3,25.44,Card
48,1507,127,9,2024-11-28 13:19:30.126287,5,54.47,Mobile
49,2279,189,19,2024-12-18 13:41:09.126295,5,64.74,Cash
50,1782,120,18,2025-09-01 16:34:51.126302,2,29.86,Mobile
51,469,269,11,2025-08-11 19:50:58.126310,2,36.04,Card
52,2057,200,8,2024-11-24 12:28:36.126317,1,6.42,Mobile
53,1325,215,5,2025-08-27 20:39:52.126325,2,20.54,Mobile
54,1980,163,14,2025-08-13 21:43:37.126333,3,27.75,Mobile
55,1403,333,4,2025-02-21 11:47:56.126340,5,72.14,Cash
56,216,58,2,2025-03-07 18:54:14.126348,6,71.51,Card
57,1425,214,10,2025-09-03 20:30:02.126355,1,23.08,Card
58,1604,244,10,2025-05-26 11:58:55.126362,6,76.73,Mobile
59,1950,232,16,2025-08-09 10:58:34.126370,6,70.5,Mobile
60,867,298,17,2025-10-17 19:38:24.126377,2,24.47,Card
61,1578,157,13,2025-09-12 20:27:26.126385,5,58.21,Card
62,2067,134,15,2024-12-10 11:21:55.126392,4,45.76,Card
63,1951,16,10,2025-08-14 20:22:59.126399,2,32.07,Card
64,606,59,4,2025-04-14 18:04:03.126406,5,33.64,Mobile
65,1341,279,19,2025-09-30 14:36:35.126414,5,60.01,Card
66,2229,40,20,2025-07-19 18:16:21.126421,4,66.98,Mobile
67,289,288,3,2025-04-26 13:53:04.126441,5,26.7,Cash
68,1305,215,10,2025-04-05 17:44:43.126449,3,44.05,Mobile
69,1562,3,13,2025-11-18 19:16:12.126456,3,31.96,Mobile
70,1468,262,19,2025-06-01 10:26:04.126463,4,36.09,Cash
71,270,132,3,2025-03-14 13:38:30.126471,5,57.78,Cash
72,2124,101,14,2025-08-25 13:03:53.126486,6,67.67,Card
73,1336,133,1,2025-09-17 18:57:21.126493,4,48.11,Mobile
74,1269,398,12,2024-12-10 20:11:27.126500,5,69.84,Mobile
75,1842,259,3,2025-10-11 17:19:33.126508,3,28.66,Cash
76,2046,19,11,2025-08-08 13:06:47.126515,1,9.07,Card
77,422,94,16,2025-04-07 20:10:13.126522,3,17.18,Cash
78,980,66,3,2025-10-30 19:04:43.126530,5,37.22,Cash
79,1118,399,10,2025-09-14 15:58:37.126538,3,33.87,Card
80,1054,158,10,2025-07-03 19:22:59.126545,5,39.61,Card
81,1901,55,2,2025-05-23 14:30:08.126552,4,52.6,Card
82,1876,95,14,2025-07-20 14:32:09.126560,2,33.01,Mobile
83,1244,33,15,2025-08-13 13:21:26.126567,1,5.15,Mobile
84,952,68,20,2025-06-03 19:24:52.126574,5,73.11,Mobile
85,136,359,1,2025-08-15 19:44:32.126582,4,34.1,Cash
86,1434,138,5,2025-09-07 17:57:41.126589,1,18.85,Card
87,225,1,11,2025-09-07 14:58:39.126597,6,54.69,Mobile
88,2494,237,9,2025-07-04 14:47:23.126604,3,33.78,Card
89,895,353,18,2025-02-07 17:04:22.126612,6,52.78,Mobile
90,1512,156,16,2025-03-10 17:49:16.126619,4,44.84,Cash
91,1256,315,6,2025-01-27 21:40:37.126627,1,5.85,Mobile
92,2270,350,12,2025-07-07 19:40:10.126635,6,31.93,Cash
93,660,317,16,2025-03-22 20:08:16.126642,5,51.82,Mobile
94,2221,265,19,2025-02-16 14:20:42.126650,1,16.66,Card
95,1920,227,8,2025-01-27 12:53:26.126657,2,5.62,Card
96,2159,298,13,2025-02-02 12:14:31.126665,4,40.63,Cash
97,1015,250,5,2025-05-24 19:51:54.126672,2,33.07,Cash
98,2489,354,4,2025-08-20 12:17:13.126679,1,24.51,Card
99,2114,372,16,2025-08-29 18:47:39.126686,5,55.77,Cash
100,2151,366,7,2025-05-19 19:32:34.126696,4,28.34,Mobile
101,1041,198,16,2024-12-09 11:39:47.126703,2,20.95,Card
102,1316,147,17,2024-12-09 17:40:50.126710,5,75.26,Cash
103,1254,30,16,2025-09-26 11:37:20.126718,5,50.02,Card
104,338,339,7,2025-07-01 09:15:16.126725,5,32.31,Mobile
105,4,203,11,2025-01-06 14:50:55.126732,4,63.81,Cash
106,1947,210,6,2025-10-11 13:25:44.126740,5,62.84,Cash
107,1998,319,6,2025-06-19 18:45:10.126747,2,23.98,Mobile
108,1785,81,12,2025-02-14 17:10:56.126755,5,61.12,Mobile
109,4,74,11,2025-10-10 17:39:16.126763,5,30.43,Cash
110,2442,263,12,2025-05-25 17:52:25.126771,5,55.48,Card
111,1465,373,3,2025-03-22 13:47:06.126779,2,19.1,Card
112,354,360,14,2025-10-01 19:04:33.126786,5,57.67,Mobile
113,1764,393,6,2025-03-31 11:03:04.126793,1,6.97,Mobile
114,1496,83,16,2025-11-18 13:29:07.126801,4,44.64,Card
115,351,217,13,2025-02-22 11:37:50.126808,6,46.78,Cash
116,682,233,6,2025-06-22 20:22:01.126816,4,58.4,Card
117,622,253,20,2025-03-20 17:25:52.126823,3,40.03,Card
118,1914,376,8,2025-10-19 19:08:16.126831,5,31.06,Cash
119,2041,368,17,2025-03-17 12:04:25.126838,3,36.33,Cash
120,593,3,18,2025-03-16 19:45:19.126845,2,32.59,Cash
121,634,224,2,2025-06-03 20:53:27.126853,1,22.65,Cash
122,72,208,13,2025-10-14 15:48:44.126860,1,27.1,Card
123,678,22,7,2025-09-29 16:49:29.126867,1,6.45,Card
124,883,69,6,2025-05-14 18:24:37.126875,5,60.68,Cash
125,1438,327,2,2025-08-09 10:01:39.126882,6,42.93,Card
126,576,379,7,2025-02-13 20:38:44.126889,6,49.09,Card
127,795,162,15,2025-02-19 20:55:46.126897,4,59.42,Card
128,134,105,5,2025-08-19 13:29:13.126904,4,49.44,Mobile
129,1783,207,20,2025-04-29 12:12:02.126912,2,23.14,Card
130,1687,46,15,2024-11-24 18:00:16.126919,2,41.87,Cash
131,236,355,1,2025-04-06 17:08:52.126927,3,37.26,Mobile
132,281,176,7,2025-07-12 14:55:28.126934,5,46.57,Mobile
133,2421,366,19,2025-07-25 11:59:31.126941,4,19.69,Card
134,2326,217,11,2025-09-23 12:26:44.126949,6,74.36,Card
135,1405,360,15,2025-06-15 19:37:07.126956,6,49.34,Cash
136,1256,169,13,2025-01-07 09:27:06.126963,6,79.45,Cash
137,500,79,8,2025-02-28 18:16:38.126971,1,28.43,Mobile
138,1983,94,2,2025-04-15 20:16:17.126978,4,41.59,Card
139,2481,142,18,2025-03-30 09:30:54.126986,6,48.32,Cash
140,187,286,11,2024-12-27 19:49:10.126993,5,73.94,Mobile
141,2028,4,6,2025-07-24 14:38:21.127000,1,19.86,Cash
142,857,91,15,2025-06-13 20:10:21.127008,3,47.17,Cash
143,539,24,13,2024-11-26 18:29:54.127015,6,59.04,Card
144,780,334,2,2025-11-21 13:44:42.127022,6,38.43,Cash
145,2246,200,19,2025-01-26 12:19:29.127029,1,11.13,Card
146,2128,132,12,2025-05-14 13:44:17.127036,4,24.01,Card
147,2223,169,13,2025-08-27 14:57:06.127044,5,62.74,Mobile
148,1528,140,2,2024-12-29 20:48:32.127051,2,35.64,Cash
149,1621,261,15,2025-06-30 10:28:22.127059,6,46.77,Cash
150,352,155,6,2025-02-05 15:57:20.127067,5,45.88,Mobile
151,764,113,7,2025-02-06 20:40:58.127074,6,42.47,Mobile
152,1242,356,8,2025-03-08 18:35:34.127082,6,59.18,Card
153,853,395,12,2024-12-25 11:34:07.127089,3,33.16,Card
154,1926,382,8,2025-03-04 19:24:29.127097,1,17.34,Mobile
155,230,192,1,2025-09-09 10:33:20.127104,6,71.18,Mobile
156,1314,110,8,2025-11-12 17:45:05.127112,2,39.82,Cash
157,1553,17,12,2025-06-18 18:48:48.127119,2,18.07,Cash
158,402,7,12,2025-02-21 11:23:40.127126,6,76.8,Card
159,1105,392,19,2025-03-25 19:13:15.127133,1,16.77,Card
160,1867,219,10,2024-12-29 13:41:40.127140,5,56.82,Cash
161,2177,282,8,2025-02-18 12:04:33.127148,1,25.87,Mobile
162,1389,67,15,2025-05-10 14:34:01.127155,5,30.97,Cash
163,1071,86,8,2024-12-02 10:05:45.127162,2,20.86,Cash
164,399,146,10,2025-03-11 14:46:33.127170,6,74.3,Card
165,1955,329,13,2024-12-20 11:13:55.127177,5,49.32,Mobile
166,716,178,14,2025-11-06 19:25:41.127197,1,17.46,Mobile
167,790,349,13,2025-06-05 21:31:21.127204,4,46.54,Card
168,855,120,4,2025-10-05 17:45:51.127211,3,20.31,Card
169,1728,353,15,2025-09-18 12:19:39.127218,5,35.83,Mobile
170,1858,301,9,2025-11-13 19:57:26.127225,5,43.9,Mobile
171,2352,263,2,2025-07-24 20:08:08.127230,3,26.95,Cash
172,301,353,3,2025-05-21 19:00:48.127237,5,76.08,Mobile
