ridelog_id,ride_id,visitor_id,employee_id,start_time,ride_duration_seconds,end_time,queue_time_seconds,satisfaction_rating
1,47,1722,56,2025-07-08 18:16:53.125334,271,2025-07-08 18:21:24.125334,3179,5
2,2,117,122,2024-12-11 15:22:53.125359,178,2024-12-11 15:25:51.125359,1932,3
3,36,1814,352,2025-01-05 12:37:53.125371,282,2025-01-05 12:42:35.125371,1256,4
4,1,919,386,2025-03-08 13:02:10.125380,287,2025-03-08 13:06:57.125380,1440,3
5,39,904,234,2025-02-24 18:04:19.125389,260,2025-02-24 18:08:39.125389,1431,2
6,23,428,361,2025-10-10 15:44:07.125398,248,2025-10-10 15:48:15.125398,1524,3
7,26,494,160,2025-09-14 20:35:17.125406,221,2025-09-14 20:38:58.125406,3237,1
8,11,2110,123,2025-04-17 12:39:32.125415,226,2025-04-17 12:43:18.125415,969,2
9,42,1851,22,2025-06-15 19:21:40.125423,294,2025-06-15 19:26:34.125423,2935,4
10,1,80,218,2025-07-14 21:45:28.125444,171,2025-07-14 21:48:19.125444,3563,3
11,11,1046,41,2025-07-08 12:42:20.125450,97,2025-07-08 12:43:57.125450,3355,5
12,24,595,365,2025-06-03 12:29:38.125456,222,2025-06-03 12:33:20.125456,674,5
13,10,1348,394,2025-06-09 09:58:44.125463,179,2025-06-09 10:01:43.125463,2263,2
14,14,1541,45,2025-09-17 19:59:00.125478,44,2025-09-17 19:59:44.125478,2035,4
15,14,2309,261,2025-01-17 16:00:57.125485,208,2025-01-17 16:04:25.125485,1003,3
16,7,2177,12,2025-11-20 19:11:26.125493,189,2025-11-20 19:14:35.125493,41,4
17,23,626,233,2025-02-13 20:45:31.125501,252,2025-02-13 20:49:43.125501,3356,1
18,43,284,233,2025-05-07 17:05:50.125509,244,2025-05-07 17:09:54.125509,2272,2
19,22,1877,288,2024-12-27 19:04:34.125517,174,2024-12-27 19:07:28.125517,2171,1
20,36,1212,376,2025-11-09 19:28:43.125525,191,2025-11-09 19:31:54.125525,49,2
21,27,2067,274,2025-09-22 14:52:24.125533,76,2025-09-22 14:53:40.125533,416,5
22,2,763,202,2025-01-21 14:24:11.125541,199,2025-01-21 14:27:30.125541,1342,4
23,39,838,320,2024-12-03 09:07:29.125550,79,2024-12-03 09:08:48.125550,3562,4
24,46,2016,87,2025-05-19 12:28:00.125558,138,2025-05-19 12:30:18.125558,1035,4
25,19,2016,385,2025-08-03 20:01:48.125566,210,2025-08-03 20:05:18.125566,687,1
26,7,1061,373,2025-07-04 19:58:45.125574,43,2025-07-04 19:59:28.125574,616,3
27,12,1622,181,2025-05-25 12:05:52.125581,96,2025-05-25 12:07:28.125581,1463,3
28,3,72,170,2025-01-14 19:19:51.125589,259,2025-01-14 19:24:10.125589,2084,1
29,47,653,229,2025-08-03 12:31:23.125597,49,2025-08-03 12:32:12.125597,1143,5
30,5,64,82,2025-11-06 13:31:57.125603,180,2025-11-06 13:34:57.125603,2848,3
31,8,30,350,2024-11-29 20:38:13.125611,52,2024-11-29 20:39:05.125611,926,5
32,14,557,211,2025-11-21 12:52:40.125619,81,2025-11-21 12:54:01.125619,786,4
33,36,2326,166,2025-05-06 10:55:17.125627,230,2025-05-06 10:59:07.125627,2606,1
34,7,1755,28,2025-02-06 17:31:10.125635,51,2025-02-06 17:32:01.125635,1449,4
35,7,277,22,2025-02-15 12:42:47.125643,240,2025-02-15 12:46:47.125643,2446,4
36,50,2269,302,2025-02-08 19:43:38.125651,98,2025-02-08 19:45:16.125651,1155,5
37,46,1217,294,2025-02-08 11:04:37.125659,225,2025-02-08 11:08:22.125659,230,3
38,32,670,32,2025-09-20 20:04:08.125666,178,2025-09-20 20:07:06.125666,1646,1
39,8,2189,311,2025-07-15 18:54:14.125674,162,2025-07-15 18:56:56.125674,1948,1
40,12,26,345,2025-03-02 20:50:17.125683,260,2025-03-02 20:54:37.125683,1668,2
41,10,2146,368,2025-08-18 19:01:44.125691,106,2025-08-18 19:03:30.125691,495,3
42,14,276,137,2024-12-12 17:39:16.125699,283,2024-12-12 17:43:59.125699,279,4
43,9,1267,293,2024-12-11 17:56:29.125707,247,2024-12-11 18:00:36.125707,3000,3
44,38,2481,65,2025-11-23 15:41:43.125715,237,2025-11-23 15:45:40.125715,2694,5
45,30,9,349,2024-12-27 09:54:20.125723,153,2024-12-27 09:56:53.125723,155,1
46,5,2320,79,2025-04-17 15:17:07.125731,40,2025-04-17 15:17:47.125731,340,4
47,1,1796,316,2024-12-11 17:29:31.125739,96,2024-12-11 17:31:07.125739,841,3
48,1,32,255,2025-05-23 17:48:02.125747,80,2025-05-23 17:49:22.125747,2306,3
49,20,852,341,2025-08-02 09:17:58.125755,87,2025-08-02 09:19:25.125755,226,5
50,49,605,63,2025-04-23 17:28:20.125763,105,2025-04-23 17:30:05.125763,2940,5
51,11,1773,76,2025-11-22 15:12:21.125771,211,2025-11-22 15:15:52.125771,1926,4
52,26,2065,282,2025-10-14 18:51:01.125778,284,2025-10-14 18:55:45.125778,1870,4
53,44,2349,301,2025-08-01 20:27:04.125786,78,2025-08-01 20:28:22.125786,1372,2
54,3,1808,351,2025-07-20 12:10:21.125795,178,2025-07-20 12:13:19.125795,3330,1
55,6,42,35,2025-06-18 10:40:40.125803,264,2025-06-18 10:45:04.125803,320,2
56,43,1802,78,2025-10-06 09:30:27.125810,263,2025-10-06 09:34:50.125810,2096,2
57,45,2100,375,2025-11-12 18:51:40.125818,110,2025-11-12 18:53:30.125818,1746,3
58,11,2236,263,2025-06-06 13:15:06.125826,114,2025-06-06 13:17:00.125826,2297,3
59,8,1968,53,2025-03-27 12:21:53.125834,45,2025-03-27 12:22:38.125834,31,4
60,29,2199,297,2025-10-28 14:33:50.125842,177,2025-10-28 14:36:47.125842,3585,3
61,10,409,4,2025-07-26 10:49:38.125850,131,2025-07-26 10:51:49.125850,209,3
62,34,1893,2,2025-01-11 16:48:06.125858,251,2025-01-11 16:52:17.125858,1457,1
63,24,344,291,2025-01-08 16:37:07.125866,95,2025-01-08 16:38:42.125866,911,3
64,46,1719,361,2025-10-12 09:58:02.125874,91,2025-10-12 09:59:33.125874,3088,5
65,48,28,141,2025-05-15 14:56:54.125882,150,2025-05-15 14:59:24.125882,2264,4
66,17,634,115,2024-12-04 10:50:08.125890,220,2024-12-04 10:53:48.125890,1440,1
67,32,212,115,2025-10-24 21:28:03.125898,189,2025-10-24 21:31:12.125898,293,2
68,11,688,263,2025-06-23 18:40:27.125906,298,2025-06-23 18:45:25.125906,3141,5
69,34,1504,124,2025-10-22 10:43:03.125914,199,2025-10-22 10:46:22.125914,59,5
70,24,72,250,2025-02-11 09:18:54.125922,295,2025-02-11 09:23:49.125922,2601,2
71,5,2158,295,2025-05-13 15:06:39.125930,204,2025-05-13 15:10:03.125930,1230,5
72,29,1137,367,2025-04-28 12:55:38.125937,226,2025-04-28 12:59:24.125937,657,3
73,48,1421,91,2024-12-22 18:00:29.125946,248,2024-12-22 18:04:37.125946,132,4
74,48,232,49,2025-05-12 16:50:27.125953,87,2025-05-12 16:51:54.125953,2350,5
75,34,43,387,2025-01-11 18:06:21.125961,273,2025-01-11 18:10:54.125961,2911,2
76,16,265,273,2024-12-26 19:50:01.125969,279,2024-12-26 19:54:40.125969,1026,1
77,25,1832,153,2025-04-06 17:21:37.125977,54,2025-04-06 17:22:31.125977,665,3
78,37,46,382,2025-08-18 10:06:00.125986,100,2025-08-18 10:07:40.125986,3124,3
79,8,1976,222,2025-01-24 20:04:37.125994,90,2025-01-24 20:06:07.125994,156,3
80,29,1676,142,2025-08-17 18:08:40.126002,202,2025-08-17 18:12:02.126002,2360,5
81,46,2286,221,2025-03-09 13:22:26.126010,56,2025-03-09 13:23:22.126010,2774,2
82,25,1270,261,2025-03-23 20:39:28.126018,216,2025-03-23 20:43:04.126018,48,1
83,42,727,199,2025-08-21 12:08:51.126026,57,2025-08-21 12:09:48.126026,1225,1
