ticket_id,visitor_id,purchase_date,ticket_type,price,discount_pct,payment_method,valid_from,valid_until
1,1641,2024-07-08 21:15:28.159394,Season,440.91,42,Cash,2024-08-07,2025-04-18
2,1530,2024-02-14 07:59:17.792529,Promo,41.83,12,Cash,2024-03-02,2024-03-05
3,2368,2025-10-28 19:08:31.559072,Season,345.58,11,Cash,2025-11-08,2026-11-02
4,1095,2024-10-20 16:28:20.961682,Promo,51.58,8,Cash,2024-10-23,2024-10-24
5,568,2025-01-23 07:36:22.320518,Promo,43.19,3,Card,2025-02-20,2025-02-21
6,236,2025-07-22 11:41:31.389480,Season,346.56,38,Mobile,2025-08-06,2026-03-09
7,1305,2025-05-21 18:52:24.270472,Multi-Day,155.05,23,Mobile,2025-06-16,2025-06-23
8,1186,2024-03-03 16:03:45.027015,Promo,51.12,33,Mobile,2024-03-26,2024-03-29
9,1033,2025-03-07 04:21:54.651989,Season,427.14,38,Mobile,2025-03-20,2025-10-13
10,2108,2025-10-01 23:07:37.198489,Day,94.59,40,Cash,2025-10-09,2025-10-09
11,1841,2024-06-20 17:03:05.642791,Season,374.04,4,Mobile,2024-07-09,2025-02-24
12,225,2024-05-13 08:22:53.306773,Day,88.38,14,Mobile,2024-05-19,2024-05-19
13,1843,2025-06-08 20:55:46.874388,Promo,50.68,49,Card,2025-06-11,2025-06-13
14,582,2025-07-23 22:49:51.463450,Season,487.33,3,Card,2025-07-29,2026-05-22
15,169,2025-11-20 01:33:59.146925,Season,429.61,50,Card,2025-12-16,2026-08-01
16,1466,2024-02-13 11:03:59.865264,Day,104.37,38,Cash,2024-03-06,2024-03-06
17,14,2024-09-06 05:29:58.428291,Season,334.23,7,Cash,2024-09-16,2025-04-11
18,2212,2025-10-09 13:52:31.990019,Season,445.83,48,Cash,2025-11-02,2026-08-15
19,1444,2025-05-14 08:19:07.771932,Promo,46.54,44,Card,2025-05-15,2025-05-18
20,1871,2024-05-25 22:10:56.024544,Season,375.89,23,Mobile,2024-06-20,2025-06-07
21,1544,2025-01-22 00:13:20.019667,Multi-Day,199.48,27,Card,2025-02-09,2025-02-11
22,1690,2025-09-27 02:38:29.254963,Day,105.6,42,Cash,2025-10-21,2025-10-21
23,1572,2024-04-26 14:05:38.522717,Season,411.39,26,Card,2024-05-24,2025-03-15
24,1052,2025-02-13 23:50:10.989232,Day,107.38,0,Mobile,2025-02-27,2025-02-27
25,1732,2024-07-23 06:06:12.050383,Day,113.71,33,Cash,2024-08-13,2024-08-13
26,446,2025-02-25 06:32:00.956488,Day,111.04,16,Mobile,2025-03-15,2025-03-15
27,716,2025-04-27 13:34:45.165100,Season,345.81,36,Mobile,2025-05-27,2026-04-01
28,819,2025-01-13 05:09:12.865875,Season,306.42,37,Cash,2025-01-17,2025-11-20
29,2152,2024-01-04 08:36:19.855588,Day,92.62,25,Mobile,2024-01-04,2024-01-04
30,426,2025-07-10 20:00:10.566725,Multi-Day,163.39,23,Card,2025-07-26,2025-08-02
31,1125,2025-04-22 18:01:22.485394,Day,88.44,38,Mobile,2025-04-23,2025-04-23
32,1565,2025-01-16 13:55:08.441573,Multi-Day,197.15,20,Mobile,2025-02-02,2025-02-07
33,850,2024-10-04 02:39:36.707192,Day,115.05,29,Mobile,2024-10-30,2024-10-30
34,1546,2024-11-29 09:14:47.619790,Promo,52.59,46,Card,2024-12-17,2024-12-19
35,1130,2024-07-12 04:25:43.131042,Day,106.22,50,Mobile,2024-08-10,2024-08-10
36,1703,2024-11-30 04:32:46.631653,Day,95.83,47,Mobile,2024-12-16,2024-12-16
37,2002,2024-05-06 13:35:55.628829,Season,482.91,12,Card,2024-05-30,2025-01-10
